FileName,Machine,DebugSize,DebugRVA,MajorImageVersion,MajorOSVersion,ExportRVA,ExportSize,IatVRA,MajorLinkerVersion,MinorLinkerVersion,NumberOfSections,SizeOfStackReserve,DllCharacteristics,ResourceSize,BitcoinAddresses,Benign
VirusShare_0b997d7878ec4527942c92bf5f352283,332,0,0,0,4,0,0,16384,4,0,3,1048576,0,505344,0,0
VirusShare_0b9b1bdf8ebca83eee06fe599a04b246,332,0,0,0,5,0,0,8192,9,0,5,1048576,1024,10392,0,0
VirusShare_0b9e34d538b086b4f23b360a2b303a43,332,0,0,0,5,0,0,4096,9,0,3,1048576,32768,976,0,0
VirusShare_0b9f590498ef229c8d2bfcadbf8aa36a,332,0,0,0,5,0,0,221184,9,0,4,1048576,0,0,0,0
VirusShare_0b9f72c0bd51220db604d88efa632c8f,332,0,0,0,4,0,0,0,8,0,8,1048576,0,1536,0,0
VirusShare_0ba0a79f06bd8c5d235fd5a8887e35ee,332,0,0,0,4,0,0,0,2,25,10,1048576,0,29696,0,0
VirusShare_0ba6e51cb43888e71c95443a49384240,332,0,0,0,4,0,0,8192,5,12,4,1048576,0,928,0,0
VirusShare_0ba7b67d849fc1cb8c5afe3f26cf7e01,332,0,0,0,4,0,0,0,2,25,3,1048576,0,5764,0,0
VirusShare_0ba9143d52ef13c480643ca0f133005a,332,0,0,0,4,0,0,32768,7,0,4,1048576,0,176196,0,0
VirusShare_0bae9a454befd85ceed074b9ba2232c5,332,0,0,4,4,0,0,4096,6,0,3,1048576,0,3228,0,0
VirusShare_0baf6b855426a8ed7a2f9eaf732b8690,332,0,0,0,5,0,0,24576,10,0,5,1048576,32832,161864,0,0
VirusShare_0baff43f1c605432758b38de913d4fea,332,0,0,6,4,0,0,28672,6,0,5,1048576,32768,3144,0,0
